Place,Month,AT,HAT,LAT,HT,LT,Rain,Mrain,Sun,Msnow,Snow,AW,MW,PMW,Vap,Hum,Lhum,Corrosion
Tsukuba,4,4.8,-1,11.2,16.2,-5.6,45.5,17.5,192.7,0,0,2.2,9.3,17.3,5.6,67,14,57
Tsukuba,5,2.8,-3.6,9.6,14.9,-7.5,24,15.5,220.8,2,3,2,8.9,17.3,4.3,59,11,62
Tsukuba,6,3.5,-2.1,9.1,19.4,-7.7,163,110,158,26,40,2.3,9.3,21,5,63,15,147
Tsukuba,7,8.1,1.8,14,23,-5.3,86.5,24,213.1,0,0,2.7,10.8,19.6,6.6,61,12,180
Tsukuba,8,12.8,6.6,19.1,25,0,146,52,227.7,0,0,2.5,8,16.8,9,62,9,263
Tsukuba,9,18.2,12.1,24.3,31.1,6.1,111.5,42.5,240.3,0,0,2.6,10.2,18,14.6,71,14,161
Tsukuba,10,21.8,18.3,26,32.3,15.2,332,71.5,151.3,0,0,2.3,6.5,15.2,21,82,26,505
Tsukuba,11,25,21,29.8,35.1,17.6,97,23,188.5,0,0,2.1,8.9,15.3,25.3,81,43,207
Tsukuba,12,25.8,22.1,30.6,36.2,17.6,169.5,37,174.8,0,0,2.6,9.6,17.5,26.8,82,32,365
Choshi,1,24,21.8,26.7,33.5,17.5,146.5,37,199,0,0,5.9,21.1,33.4,24.7,82,46,1591
Choshi,2,20.1,17.5,22.5,27.6,11.1,486,130.5,124.8,0,0,7.1,33.5,46.1,19.3,81,34,1303
Choshi,3,14.1,10.1,17.4,21,5.3,95,46,174.7,0,0,5.6,18.4,26.4,10.8,65,25,562
Choshi,4,8.8,5.2,12.3,18.4,1,122.5,42.5,185.4,0,0,5.4,16.6,23.3,7.3,63,21,430
Choshi,5,6.7,2.7,10.4,15.7,-0.4,94.5,49,198.1,0,0,5.3,16.2,21.7,6,60,28,285
Choshi,6,6.7,3.6,10.2,17.9,-1.4,233,85,128.5,0,0,7.3,27.6,35.8,6.9,67,24,714
Choshi,7,10.1,6.5,13.7,20.7,-0.3,117,31,191.9,0,0,6.6,16.5,24.7,8.5,66,21,558
Choshi,8,14.3,10.8,17.6,21.3,3.5,70.5,13.5,232.2,0,0,5.4,15.6,19.2,11,67,22,567
Choshi,9,18.2,15.2,21.6,26.1,12.2,151,56.5,257,0,0,5.7,21.1,26.8,16.6,78,30,541
Choshi,10,21.1,18.9,24,27.3,17.1,177.5,56,172.3,0,0,4.5,14.3,19.4,22.3,89,46,830
Choshi,11,24,21.6,27.1,30.9,20,77.5,23,214.9,0,0,4.5,12.8,18.6,26.5,89,53,676
Choshi,12,24.9,22.6,28.2,33.1,18.9,113.5,36,212.7,0,0,6,14.1,20.3,28.2,90,55,745
